id,wordId,title,topic,synthesis,phonemic,image,urlimage,audio,urlaudio,learninglevel,simpleWord,sightWord,phonicsWord,inlanguage,contenttype,author,publisher,licenseurl,license,featured,usedin,educationalrole,tags
1,,apple,,,,/resourses/images/apple.png,https://edupix.io/resourses/images/apple.png,,,,,,,en,illustration,Ildiko Gaspar,Global Digital Library,https://creativecommons.org/licenses/by-sa/4.0/,CC-BY-SA-4.0,yes,,Early Grades,fruit
2,,arithmetic,,,,/resourses/images/arithmetic.png,https://edupix.io/resourses/images/arithmetic.png,,,,,,,en,illustration,Ildiko Gaspar,Global Digital Library,https://creativecommons.org/licenses/by-sa/4.0/,CC-BY-SA-4.0,yes,,Early Grades,math
3,,avocado,,,,/resourses/images/avocado.png,https://edupix.io/resourses/images/avocado.png,,,,,,,en,illustration,Ildiko Gaspar,Global Digital Library,https://creativecommons.org/licenses/by-sa/4.0/,CC-BY-SA-4.0,yes,,Early Grades,fruit
4,,badge,,,,/resourses/images/badge.png,https://edupix.io/resourses/images/badge.png,,,,,,,en,illustration,Ildiko Gaspar,Global Digital Library,https://creativecommons.org/licenses/by-sa/4.0/,CC-BY-SA-4.0,yes,,Early Grades,
5,,bag,,,,/resourses/images/bag.png,https://edupix.io/resourses/images/bag.png,,,,,,,en,illustration,Ildiko Gaspar,Global Digital Library,https://creativecommons.org/licenses/by-sa/4.0/,CC-BY-SA-4.0,yes,,Early Grades,
6,,ball,,,,/resourses/images/ball.png,https://edupix.io/resourses/images/ball.png,,,,,,,en,illustration,Ildiko Gaspar,Global Digital Library,https://creativecommons.org/licenses/by-sa/4.0/,CC-BY-SA-4.0,no,,Early Grades,
7,,banana,,,,/resourses/images/banana.png,https://edupix.io/resourses/images/banana.png,,,,,,,en,illustration,Ildiko Gaspar,Global Digital Library,https://creativecommons.org/licenses/by-sa/4.0/,CC-BY-SA-4.0,yes,,Early Grades,fruit
8,,basketball,,,,/resourses/images/basketball.png,https://edupix.io/resourses/images/basketball.png,,,,,,,en,illustration,Ildiko Gaspar,Global Digital Library,https://creativecommons.org/licenses/by-sa/4.0/,CC-BY-SA-4.0,no,,Early Grades,sport
