"ID","Learning level","Spelling","Synthesis","Phonemic Synthesis","IllustrationFile","AudioFile","IsSimpleWord","IsSightWord","IsPhonicsWord"
"bull","93","bull",,"b/u/l","WordImage_bull.png","WordAudio_bull.ogg","N","N","N"
"bravest","93","bravest",,"b/r/ei/v/i/s/t ","","WordAudio_bravest.ogg","N","Y","N"
"braver","93","braver",,"b/r/ei/v/..r ","","WordAudio_braver.ogg","N","Y","N"
"bracelet","93","bracelet",,"b/r/ei/s/l/i/t","WordImage_bracelet.png","WordAudio_bracelet.ogg","N","N","N"
"bread","93","bread",,"b/r/e/d","WordImage_bread.png","WordAudio_bread.ogg","N","N","N"
"broken","93","broken",,"b/r/..u/k/..r/n ","","WordAudio_broken.ogg","N","Y","N"
"broke","93","broke",,"b/r/..u/k ","","WordAudio_broke.ogg","N","Y","N"
"blanket","93","blanket",,"b/l/ae/ngk/i/t","WordImage_blanket.png","WordAudio_blanket.ogg","N","N","N"
"ocean","93","ocean",,"..u/sh/..r/n","WordImage_ocean.png","WordAudio_ocean.ogg","N","N","N"
"oasis","93","oasis",,"..u/ei/s/i/s","WordImage_oasis.png","WordAudio_oasis.ogg","N","N","N"
"apartment","93","apartment",,"..r/p/a:r/t/m/..r/n/t","WordImage_apartment.png","WordAudio_apartment.ogg","N","N","N"
"alive","93","alive",,"..r/l/ai/v ","","WordAudio_alive.ogg","N","Y","N"
"batch","92","batch","b/a/tch","b/ae/tshh ","","WordAudio_batch.ogg","Y","N","Y"
"trench","91","trench","tr/e/nch","tr/e/ntsh ","","WordAudio_trench.ogg","Y","N","Y"
"stench","91","stench","st/e/nch","st/e/ntsh ","","WordAudio_stench.ogg","Y","N","Y"
"pinch","91","pinch","p/i/nch","p/i/ntsh ","","WordAudio_pinch.ogg","Y","N","Y"
"punch","91","punch","p/u/nch","p/^/ntsh ","","WordAudio_punch.ogg","Y","N","Y"
"munch","91","munch","m/u/nch","m/^/ntsh ","","WordAudio_munch.ogg","Y","N","Y"
"lunchbox","91","lunchbox","l/u/nch/b/o/x","l/^/ntsh/b/o/ks ","","WordAudio_lunchbox.ogg","N","N","Y"
"lunch","91","lunch","l/u/nch","l/^/ntsh ","","WordAudio_lunch.ogg","Y","N","Y"
"crunch","91","crunch","cr/u/nch","kr/^/ntsh ","","WordAudio_crunch.ogg","Y","N","Y"
"clinch","91","clinch","cl/i/nch","kl/i/ntsh ","","WordAudio_clinch.ogg","Y","N","Y"
"French","91","French","Fr/e/nch","fr/e/ntsh ","","WordAudio_French.ogg","N","N","Y"
"flinch","91","flinch","fl/i/nch","fl/i/ntsh ","","WordAudio_flinch.ogg","Y","N","Y"
"finch","91","finch","f/i/nch","f/i/ntsh ","","WordAudio_finch.ogg","Y","N","Y"
"drench_pink","91","drench","dr/e/nch","dr/e/ntsh ","","WordAudio_drench.ogg","Y","N","Y"
"bench_pink","91","bench","b/e/nch","b/e/ntsh ","","WordAudio_bench.ogg","Y","N","Y"
"splosh","90","splosh","spl/o/sh","spl/o/sh ","","WordAudio_splosh.ogg","Y","N","Y"
"split","90","split","spl/i/t","spl/i/t ","","WordAudio_split.ogg","Y","N","Y"
"splish","90","splish","spl/i/sh","spl/i/sh ","","WordAudio_splish.ogg","Y","N","Y"
"splendid","90","splendid","spl/e/nd/i/d","spl/e/nd/i/d ","","WordAudio_splendid.ogg","N","N","Y"
"ditch","92","ditch","d/i/tch","d/i/tshh","","WordAudio_ditch.ogg","Y","N","Y"
"these","93","these",,"dh/i:/z","WordImage_these.png","WordAudio_these.ogg","N","Y","N"
"fetch","92","fetch","f/e/tch","f/e/tshh ","","WordAudio_fetch.ogg","Y","N","Y"
"hatch","92","hatch","h/a/tch","h/ae/tshh ","","WordAudio_hatch.ogg","Y","N","Y"
"across","93","across",,"..r/k/r/o/s","","WordAudio_across.ogg","N","N","N"
"again","93","again",,"..r/g/ei/n","","WordAudio_again.ogg","N","N","N"
"adventure","93","adventure",,"..r/d/v/e/n/tsh/..r","","WordAudio_adventure.ogg","N","N","N"
"adapt","93","adapt",,"..r/d/ae/pt","","WordAudio_adapt.ogg","N","N","N"
"witch","92","witch","w/i/tch","w/i/tsh ","","WordAudio_witch.ogg","Y","N","Y"
"twitch","92","twitch","tw/i/tch","tw/i/tsh ","","WordAudio_twitch.ogg","Y","N","Y"
"switch_pink","92","switch","sw/i/tch","sw/i/tsh ","","WordAudio_switch.ogg","Y","N","Y"
"stretch_pink_tch","92","stretch","str/e/tch","str/e/tshh ","","WordAudio_stretch.ogg","Y","N","Y"
"stitch","92","stitch","st/i/tch","st/i/tsh ","","WordAudio_stitch.ogg","Y","N","Y"
"snatch","92","snatch","sn/a/tch","sn/ae/tshh ","","WordAudio_snatch.ogg","Y","N","Y"
"scratch","92","scratch","scr/a/tch","skr/ae/tsh ","","WordAudio_scratch.ogg","Y","N","Y"
"sketch","92","sketch","sk/e/tch","sk/e/tsh ","","WordAudio_sketch.ogg","Y","N","Y"
"pitch","92","pitch","p/i/tch","p/i/tsh ","","WordAudio_pitch.ogg","Y","N","Y"
"patch","92","patch","p/a/tch","p/ae/tshh ","","WordAudio_patch.ogg","Y","N","Y"
"match","92","match","m/a/tch","m/ae/tshh","","WordAudio_match.ogg","Y","N","Y"
"crutch","92","crutch","cr/u/tch","kr/^/tsh ","","WordAudio_crutch.ogg","Y","N","Y"
"clutch","92","clutch","cl/u/tch","kl/^/tshh ","","WordAudio_clutch.ogg","Y","N","Y"
"catch_pink","92","catch","c/a/tch","k/ae/tsh ","","WordAudio_catch.ogg","Y","N","Y"
"itch","92","itch","i/tch","i/tshh","","WordAudio_itch.ogg","Y","N","Y"
"glitch","92","glitch","gl/i/tch","gl/i/tsh ","","WordAudio_glitch.ogg","Y","N","Y"
"joke","93","joke",,"dz/..u/k ","","WordAudio_joke.ogg","N","Y","N"
"ginger","93","ginger",,"dz/i/n/dz/..r","WordImage_ginger.png","WordAudio_ginger.ogg","N","N","N"
"giraffe","93","giraffe",,"g/i/r/a:r/f","WordImage_giraffe.png","WordAudio_giraffe.ogg","N","N","N"
"camel","93","camel","c/a/m/e/l","k/ae/m/..r/l","WordImage_camel.png","WordAudio_camel.ogg","N","Y","Y"
"cafe","93","cafe",,"k/ae/f/ei","WordImage_cafe.png","WordAudio_cafe.ogg","N","N","N"
"cupboard","93","cupboard",,"k/^/p/..r/d","WordImage_cupboard.png","WordAudio_cupboard.ogg","N","N","N"
"compass","93","compass",,"k/^/m/p/..r/s","WordImage_compass.png","WordAudio_compass.ogg","N","N","N"
"cope","93","cope",,"k/..u/p ","","WordAudio_cope.ogg","N","Y","N"
"comb","93","comb",,"k/..u/m","WordImage_comb.png","WordAudio_comb.ogg","N","N","N"
"coconut","93","coconut",,"k/..u/k/..r/n/^/t","WordImage_coconut.png","WordAudio_coconut.ogg","N","N","N"
"code","93","code",,"k/..u/d ","","WordAudio_code.ogg","N","Y","N"
